ParticipantName	MediaName	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX..MCSpx.	FixationPointY..MCSpx.	SaccadicAmplitude	AOI.color.key.Hit	AOI.B.Hit	AOI.B.2.Hit	AOI.B.3...leak.Hit	AOI.B.4.Hit	AOI.B.5.Hit	AOI.P.Hit	AOI.P.2.Hit	AOI.P.3.Hit	AOI.P.4...leak.Hit	AOI.J.Hit	AOI.J.2.Hit	AOI.J.3...sen_leak.Hit	AOI.J.4.Hit	AOI.leak.Hit
Yiling	job6	NA	1	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	1	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	1	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	1	Saccade	83	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	1	NA	Fixation	533	954	486	23.97	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Yiling	job6	NA	2	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	2	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	2	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	2	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	2	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	2	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	2	Saccade	117	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	2	NA	Fixation	183	853	443	2.82	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	3	Saccade	183	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	NA	Unclassified	17	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	4	Saccade	150	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	3	NA	Fixation	67	1302	383	11.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	3	NA	Fixation	67	1302	383	11.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	3	NA	Fixation	67	1302	383	11.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	3	NA	Fixation	67	1302	383	11.84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	5	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	5	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	5	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	5	Saccade	67	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	4	NA	Fixation	50	1461	300	4.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	4	NA	Fixation	50	1461	300	4.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	4	NA	Fixation	50	1461	300	4.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	6	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	6	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	6	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	5	NA	Fixation	300	1458	313	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	7	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yiling	job6	NA	7	Saccade	50	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
